image_name,slant_distance,yaw,pitch,roll
flsim_CYEG_4560_1,3.113651,-149.64511,87.639425,-1.541254
flsim_CYEG_4544_2,3.105192,-146.842187,85.369211,2.314608
flsim_CYEG_4536_3,3.010895,-147.050983,82.735459,-6.924945
flsim_CYEG_4545_4,2.802694,-138.990552,84.940079,1.69062
flsim_CYEG_4555_5,2.692684,-148.160638,87.837331,-3.396417
flsim_CYEG_4548_6,2.656576,-150.017164,86.003679,-4.059183
flsim_CYEG_4537_7,2.600296,-142.550224,80.972292,-0.101667
flsim_CYEG_4557_8,2.558727,-144.529935,86.573169,-3.00201
flsim_CYEG_4547_9,2.508517,-145.204208,85.550799,0.170646
flsim_CYEG_4554_10,2.487638,-146.362377,86.380507,-2.276638
flsim_CYEG_4541_11,2.398597,-148.336806,84.641305,7.270606
flsim_CYEG_4556_12,2.331025,-139.008167,86.798385,-2.870291
flsim_CYEG_4561_13,2.137709,-150.387341,88.196239,-0.419547
flsim_CYEG_4562_14,2.118841,-137.259597,86.451249,0.639386
flsim_CYEG_4552_15,1.903373,-142.044427,86.166447,2.199886
flsim_CYEG_4564_16,1.735768,-143.710758,91.608691,2.044714
flsim_CYEG_4558_17,1.530317,-144.794881,86.447195,-2.006734
flsim_CYEG_4565_18,1.52221,-146.776377,88.240411,2.870959
flsim_CYEG_4540_19,1.381508,-146.873217,84.608257,3.52654
flsim_CYEG_4559_20,1.359587,-150.738416,86.599813,-1.458104
flsim_CYEG_4539_21,1.306975,-156.059999,86.953473,11.029807
flsim_CYEG_4546_22,1.241595,-146.328371,84.990292,-5.587608
flsim_CYEG_4563_23,0.939806,-142.979487,89.483616,1.351432
flsim_CYEG_4538_24,0.846269,-148.617411,82.788125,5.939124
flsim_CYEG_4542_25,0.714075,-147.012983,85.454748,-5.480251
flsim_CYEG_4549_26,0.697645,-145.388988,85.723006,0.359622
flsim_CYEG_4553_27,0.561975,-137.123161,86.433235,6.398512
flsim_CYEG_4550_28,0.49845,-149.268512,85.923387,0.837
flsim_CYEG_4543_29,0.362357,-136.839037,85.400765,-4.411257
flsim_CYEG_4551_30,0.188313,-143.755015,85.666306,1.744805
flsim_CYEG_4626_31,3.165173,28.776649,82.636244,-14.892836
flsim_CYEG_4639_32,2.999186,31.453604,85.284766,-1.741119
flsim_CYEG_4628_33,2.927934,39.570796,83.232605,0.835918
flsim_CYEG_4632_34,2.831059,29.741095,84.660901,10.099205
flsim_CYEG_4649_35,2.714686,31.729376,86.923051,0.009183
flsim_CYEG_4654_36,2.70738,39.704514,86.274322,4.616103
flsim_CYEG_4636_37,2.701895,28.91444,84.713445,0.420696
flsim_CYEG_4643_38,2.685536,29.786597,85.563346,6.422363
flsim_CYEG_4654_39,2.665119,37.892092,87.780235,3.372015
flsim_CYEG_4653_40,2.649259,41.653882,86.942837,2.657956
flsim_CYEG_4630_41,2.338199,32.368436,83.949551,-3.391686
flsim_CYEG_4651_42,2.267134,31.327903,87.044331,2.365747
flsim_CYEG_4648_43,2.09896,32.461583,89.035127,-0.521362
flsim_CYEG_4640_44,2.067975,36.618782,86.645515,-3.074872
flsim_CYEG_4646_45,2.033932,35.228024,86.77411,-0.997389
flsim_CYEG_4645_46,1.839416,33.545399,87.21967,-1.812641
flsim_CYEG_4627_47,1.793789,23.927987,82.317011,4.439228
flsim_CYEG_4652_48,1.514628,40.354082,86.462591,0.532749
flsim_CYEG_4641_49,1.394494,28.901938,88.891077,1.958327
flsim_CYEG_4635_50,1.376129,28.80966,87.95693,4.145905
flsim_CYEG_4650_51,0.864249,37.313251,86.531199,3.386973
flsim_CYEG_4637_52,0.830873,44.875055,85.219579,-3.162921
flsim_CYEG_4633_53,0.669568,36.613899,84.597772,-7.388185
flsim_CYEG_4638_54,0.620187,31.076904,85.076115,-2.083722
flsim_CYEG_4642_55,0.539573,38.394645,85.480132,0.189366
flsim_CYEG_4647_56,0.470153,34.593776,87.136804,4.699796
flsim_CYEG_4629_57,0.461297,27.222596,86.471368,1.201315
flsim_CYEG_4644_58,0.359768,37.402984,87.52736,1.431247
flsim_CYEG_4631_59,0.210448,31.518965,84.56439,0.30854
flsim_CYEG_4634_60,0.160227,32.121175,88.481906,5.350916
flsim_CYYC_5357_61,3.215914,-93.481867,88.715625,2.291013
flsim_CYYC_5337_62,3.181717,-94.271242,82.79463,8.435277
flsim_CYYC_5338_63,3.068403,-94.316351,83.992204,0.772328
flsim_CYYC_5335_64,3.03737,-95.01306,83.736665,-2.870028
flsim_CYYC_5344_65,2.730549,-90.595202,85.827229,2.021546
flsim_CYYC_5341_66,2.711903,-93.945962,87.075159,0.839369
flsim_CYYC_5358_67,2.667432,-87.395642,86.889188,4.415566
flsim_CYYC_5351_68,2.652121,-83.851102,89.067906,-4.416856
flsim_CYYC_5353_69,2.471176,-93.536826,91.028958,-1.543072
flsim_CYYC_5342_70,2.437674,-84.163117,84.630729,-1.11738
flsim_CYYC_5334_71,2.26431,-89.961401,82.311415,-1.255563
flsim_CYYC_5354_72,2.165277,-92.793764,87.410266,-0.348281
flsim_CYYC_5343_73,1.621893,-83.207144,86.401671,-6.545234
flsim_CYYC_2836_74,1.874305,-83.207144,86.401671,-6.545234
flsim_CYYC_5346_75,1.619555,-88.026485,86.029109,2.129749
flsim_CYYC_5352_76,1.532838,-88.915007,86.599109,-1.271782
flsim_CYYC_2829_77,1.781724,-88.915007,86.599109,-1.271782
flsim_CYYC_5339_78,1.484341,-92.759094,83.625431,0.956031
flsim_CYYC_2817_79,1.731474,-92.759094,83.625431,0.956031
flsim_CYYC_5345_80,1.419467,-87.226172,86.151469,-6.371624
flsim_CYYC_2831_81,1.681474,-87.226172,86.151469,-6.371624
flsim_CYYC_5356_82,1.407821,-90.153178,87.354792,2.333356
flsim_CYYC_2823_83,1.684439,-90.153178,87.354792,2.333356
flsim_CYYC_5336_84,1.372787,-82.999043,82.77919,-7.090834
flsim_CYYC_2816_85,1.652722,-82.999043,82.77919,-7.090834
flsim_CYYC_5355_86,1.308886,-82.134264,87.460697,1.350024
flsim_CYYC_2844_87,1.576267,-82.134264,87.460697,1.350024
flsim_CYYC_5348_88,1.122723,-84.061397,86.445998,0.473613
flsim_CYYC_2842_89,1.411295,-84.061397,86.445998,0.473613
flsim_CYYC_5347_90,0.984385,-84.137558,86.206309,4.85954
flsim_CYYC_2845_91,1.320425,-84.137558,86.206309,4.85954
flsim_CYYC_5349_92,0.782352,-84.123305,86.449354,-4.181081
flsim_CYYC_5350_93,0.623501,-91.146115,90.902349,4.735296
flsim_CYYC_5340_94,0.350618,-81.762154,87.111747,8.785728
flsim_CYYC_5333_95,0.241332,-91.229709,81.543221,-1.103823
flsim_CYYC_6778_96,3.222592,95.831863,87.593426,4.032175
flsim_CYYC_6776_97,3.043404,87.073017,89.374256,12.554496
flsim_CYYC_6759_98,3.042359,92.086602,82.938736,-1.570957
flsim_CYYC_6765_99,2.972627,90.092614,85.904456,-7.074984
flsim_CYYC_6768_100,2.919443,87.365729,85.278778,-6.383996
flsim_CYYC_6772_101,2.754181,85.726079,86.799026,-5.276165
flsim_CYYC_6773_102,2.674284,89.282832,86.870625,-4.77856
flsim_CYYC_6767_103,2.589617,84.964397,86.936257,1.849506
flsim_CYYC_6780_104,2.469413,97.8471,89.667729,9.54334
flsim_CYYC_6760_105,2.436827,94.046026,83.185182,4.945121
flsim_CYYC_6779_106,2.123011,90.329473,85.59833,4.995626
flsim_CYYC_6761_107,1.904073,91.988512,84.105892,-1.109057
flsim_CYYC_6751_108,1.847466,91.574638,83.664003,-11.608509
flsim_CYYC_6777_109,1.82337,89.448919,88.866276,2.464512
flsim_CYYC_6755_110,1.655482,90.325647,82.550911,0.605642
flsim_CYYC_6763_111,1.549115,92.562786,85.132846,-4.97461
flsim_CYYC_6774_112,1.464355,94.350297,88.843355,-1.745987
flsim_CYYC_6762_113,1.433049,90.742406,86.187053,-7.8945
flsim_CYYC_6753_114,1.373457,84.106677,81.949941,1.921579
flsim_CYYC_6754_115,1.361552,84.336173,88.379747,-3.753859
flsim_CYYC_6756_116,1.238425,92.300939,82.694731,-6.697435
flsim_CYYC_6771_117,1.094083,85.770021,86.541594,-5.625233
flsim_CYYC_6757_118,0.906049,91.639435,82.739383,7.287846
flsim_CYYC_6752_119,0.72174,91.875351,81.326942,11.888393
flsim_CYYC_6775_120,0.704171,90.147158,86.533508,0.148679
flsim_CYYC_6758_121,0.684315,94.899833,83.04395,-1.219568
flsim_CYYC_6764_122,0.681141,98.165058,84.784509,-3.168363
flsim_CYYC_6766_123,0.632835,84.821591,86.286026,1.048602
flsim_CYYC_6770_124,0.242785,87.889115,87.105211,3.058289
flsim_CYYC_6769_125,0.214708,87.713362,86.169195,-6.02167
flsim_CYYC_2848_126,3.189068,-62.009949,86.970119,3.885862
flsim_CYYC_2830_127,3.09203,-64.46328,85.794887,2.484515
flsim_CYYC_2837_128,2.826449,-55.032601,88.074756,-4.896777
flsim_CYYC_2818_129,2.781183,-57.558236,83.928749,1.206251
flsim_CYYC_2822_130,2.7672,-55.451534,84.727422,0.193637
flsim_CYYC_2828_131,2.589412,-68.241237,85.351417,-2.416042
flsim_CYYC_2840_132,2.569681,-59.019008,89.358282,-2.613926
flsim_CYYC_2819_133,2.550481,-53.93197,83.936785,-0.782725
flsim_CYYC_2825_134,2.515666,-48.295761,84.970197,15.228492
flsim_CYYC_2847_135,2.481693,-65.155465,86.663675,4.07995
flsim_CYYC_2833_136,2.218669,-67.196786,89.605242,-8.786834
flsim_CYYC_2846_137,2.178106,-57.466948,88.447268,1.94862
flsim_CYYC_2827_138,2.109314,-66.245221,85.372719,-8.179773
flsim_CYYC_2815_139,1.942196,-54.801474,81.461977,-0.125473
flsim_CYYC_2834_140,1.668957,-62.517904,88.227408,-8.427565
flsim_CYYC_5332_141,1.276503,-58.339156,85.002194,-11.897635
flsim_CYYC_2814_142,1.588844,-58.339156,85.002194,-11.897635
flsim_CYYC_2841_143,1.386394,-55.962105,86.85905,-2.065928
flsim_CYYC_2820_144,0.856277,-66.822058,84.660952,-2.288525
flsim_CYYC_2843_145,0.782289,-61.268151,89.560235,6.149302
flsim_CYYC_2821_146,0.680197,-59.170819,84.512314,6.156911
flsim_CYYC_2826_147,0.641626,-72.285284,85.352097,-5.389918
flsim_CYYC_2839_148,0.508655,-58.709547,88.150963,-0.036923
flsim_CYYC_2838_149,0.476516,-62.523597,88.501193,4.264924
flsim_CYYC_2824_150,0.329389,-52.659976,84.95994,1.193066
flsim_CYYC_2835_151,0.323027,-64.598389,87.161396,-1.858383
flsim_CYYC_2832_152,0.219757,-51.503908,86.493601,-0.632239
flsim_CYYC_5226_153,3.178737,109.600563,92.011158,-4.925583
flsim_CYYC_5222_154,3.113842,117.759096,85.981871,-3.710055
flsim_CYYC_5215_155,2.973226,126.581587,84.062796,3.442345
flsim_CYYC_5228_156,2.969456,114.906418,89.144057,-2.998731
flsim_CYYC_5214_157,2.922345,126.081153,84.937007,-4.449615
flsim_CYYC_5234_158,2.815888,116.481148,91.816072,3.433079
flsim_CYYC_5218_159,2.578397,117.498545,85.772042,1.548616
flsim_CYYC_5210_160,2.52101,119.01243,83.738272,8.007722
flsim_CYYC_5230_161,2.444782,119.797036,87.003374,-2.021831
flsim_CYYC_5235_162,2.442102,122.418443,90.049898,18.149084
flsim_CYYC_5229_163,2.415567,116.342601,87.863425,-2.96795
flsim_CYYC_5216_164,2.24452,121.312696,84.990787,6.904893
flsim_CYYC_5225_165,2.20395,116.669016,87.828133,-5.563035
flsim_CYYC_5206_166,2.140486,119.610121,87.183163,-12.930771
flsim_CYYC_5231_167,2.092348,111.982913,89.475691,3.974777
flsim_CYYC_5223_168,2.089871,111.553873,86.383369,-1.269709
flsim_CYYC_5233_169,2.009893,118.505495,86.524306,3.17904
flsim_CYYC_5208_170,1.881662,113.404914,83.082987,3.061021
flsim_CYYC_5219_171,1.575854,117.939059,85.556226,-6.962253
flsim_CYYC_5212_172,1.476363,113.149574,84.85035,-1.547989
flsim_CYYC_5213_173,0.936335,124.092359,84.677249,1.131975
flsim_CYYC_5232_174,0.542801,116.268927,88.525063,0.866594
flsim_CYYC_5221_175,0.47697,125.977245,85.610334,1.085826
flsim_CYYC_5220_176,0.461592,122.914235,85.442469,-1.535989
flsim_CYYC_5217_177,0.364385,122.484463,86.066459,-10.51748
flsim_CYYC_5227_178,0.341267,118.819601,87.719859,3.921823
flsim_CYYC_5211_179,0.261685,123.656316,83.792381,-3.353627
flsim_CYYC_5224_180,0.201445,116.410017,88.974777,-5.285995
flsim_CYYC_5207_181,0.165013,123.061438,82.644093,-4.810033
flsim_CYYC_5209_182,0.156526,105.094161,88.169577,3.659245
flsim_CYYC_7313_183,3.238244,1.028086,86.127551,-9.731496
flsim_CYYC_7322_184,3.104141,-2.095048,84.354253,1.768791
flsim_CYYC_7324_185,3.064798,7.788214,85.633095,-7.819576
flsim_CYYC_7318_186,3.019063,-7.420289,84.272957,-1.856143
flsim_CYYC_7329_187,2.874288,4.419867,85.525605,-5.909066
flsim_CYYC_7328_188,2.731514,-4.791046,88.910904,6.202709
flsim_CYYC_7321_189,2.624706,-3.603167,84.40233,-3.988543
flsim_CYYC_7333_190,2.549316,-3.211403,86.348363,-4.923212
flsim_CYYC_7332_191,2.54858,3.044473,86.879989,-5.044754
flsim_CYYC_7341_192,2.444003,-0.539865,87.301184,4.849661
flsim_CYYC_7327_193,2.173492,-2.60915,86.66302,-6.73828
flsim_CYYC_7339_194,2.057837,-0.102822,86.184393,4.063626
flsim_CYYC_7316_195,2.051094,-9.610728,87.699592,-4.063231
flsim_CYYC_7340_196,1.916227,5.147603,87.795348,4.746076
flsim_CYYC_7314_197,1.730709,11.634646,81.398244,-2.793098
flsim_CYYC_7338_198,1.724533,-4.117316,87.32516,-0.635492
flsim_CYYC_7315_199,1.645576,2.097614,82.580579,7.084246
flsim_CYYC_7335_200,1.49154,-1.980988,87.036795,-2.553222
flsim_CYYC_7326_201,1.396935,-9.385185,86.350497,2.931112
flsim_CYYC_7342_202,1.374797,0.27336,88.473875,5.066884
flsim_CYYC_7337_203,1.24542,1.025042,89.06996,4.048067
flsim_CYYC_7317_204,1.240873,-1.425184,84.266511,-6.53487
flsim_CYYC_7323_205,1.227244,8.456762,84.683428,-0.217681
flsim_CYYC_7330_206,1.20801,-4.063379,85.614962,-2.925331
flsim_CYYC_7319_207,1.110557,-4.583621,84.572657,1.992621
flsim_CYYC_7336_208,1.019321,0.713021,87.709255,-1.426327
flsim_CYYC_7334_209,0.420688,3.906199,88.321709,0.592362
flsim_CYYC_7320_210,0.408956,2.567934,84.831919,-5.079743
flsim_CYYC_7325_211,0.297177,4.680469,85.037143,2.86517
flsim_CYYC_7331_212,0.153027,2.626781,88.645851,-1.542141
flsim_CYYC_5027_213,3.216107,-176.122643,85.394777,4.532988
flsim_CYYC_5013_214,3.205915,-188.416552,84.677343,7.827737
flsim_CYYC_5005_215,3.201116,-182.911086,83.513246,-0.150439
flsim_CYYC_5019_216,2.941524,-180.134945,85.419824,-5.096044
flsim_CYYC_5025_217,2.855065,-185.978421,86.835322,7.301727
flsim_CYYC_5001_218,2.846157,-180.837503,80.398672,-1.180847
flsim_CYYC_5029_219,2.791099,-182.59746,86.206064,13.465487
flsim_CYYC_5028_220,2.715409,-177.212187,86.500471,5.15691
flsim_CYYC_5011_221,2.58463,-186.931569,86.844326,-8.941423
flsim_CYYC_5026_222,2.562253,-177.956933,90.38765,-1.393389
flsim_CYYC_5022_223,2.287332,-185.539556,86.828078,-3.168111
flsim_CYYC_5021_224,2.090974,-178.20277,88.469637,-3.311111
flsim_CYYC_5014_225,1.61962,-180.215919,87.158519,-5.829896
flsim_CYYC_5020_226,1.551177,-183.858767,87.919942,-4.183261
